# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/home/irenest/irene/Candida_susanne/gff/GCF_000182965.3_ASM18296v3_genomic.gff" "-o" "/home/irenest/irene/RNAseq_c_albicans/candida_RNAseq_CDS_counts.txt" "-t" "CDS" "-g" "ID" "-p" "-T" "8" "align/Y10_S10_PEAligned.out.bam" "align/Y10_S10_PEAligned.out.sorted.bam" "align/Y11_S11_PEAligned.out.bam" "align/Y11_S11_PEAligned.out.sorted.bam" "align/Y12_S12_PEAligned.out.bam" "align/Y12_S12_PEAligned.out.sorted.bam" "align/Y1_S1_PEAligned.out.bam" "align/Y1_S1_PEAligned.out.sorted.bam" "align/Y2_S2_PEAligned.out.bam" "align/Y2_S2_PEAligned.out.sorted.bam" "align/Y3_S3_PEAligned.out.bam" "align/Y3_S3_PEAligned.out.sorted.bam" "align/Y4_S4_PEAligned.out.bam" "align/Y4_S4_PEAligned.out.sorted.bam" "align/Y5_S5_PEAligned.out.bam" "align/Y5_S5_PEAligned.out.sorted.bam" "align/Y6_S6_PEAligned.out.bam" "align/Y6_S6_PEAligned.out.sorted.bam" "align/Y7_S7_PEAligned.out.bam" "align/Y7_S7_PEAligned.out.sorted.bam" "align/Y8_S8_PEAligned.out.bam" "align/Y8_S8_PEAligned.out.sorted.bam" "align/Y9_S9_PEAligned.out.bam" "align/Y9_S9_PEAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	align/Y10_S10_PEAligned.out.bam	align/Y10_S10_PEAligned.out.sorted.bam	align/Y11_S11_PEAligned.out.bam	align/Y11_S11_PEAligned.out.sorted.bam	align/Y12_S12_PEAligned.out.bam	align/Y12_S12_PEAligned.out.sorted.bam	align/Y1_S1_PEAligned.out.bam	align/Y1_S1_PEAligned.out.sorted.bam	align/Y2_S2_PEAligned.out.bam	align/Y2_S2_PEAligned.out.sorted.bam	align/Y3_S3_PEAligned.out.bam	align/Y3_S3_PEAligned.out.sorted.bam	align/Y4_S4_PEAligned.out.bam	align/Y4_S4_PEAligned.out.sorted.bam	align/Y5_S5_PEAligned.out.bam	align/Y5_S5_PEAligned.out.sorted.bam	align/Y6_S6_PEAligned.out.bam	align/Y6_S6_PEAligned.out.sorted.bam	align/Y7_S7_PEAligned.out.bam	align/Y7_S7_PEAligned.out.sorted.bam	align/Y8_S8_PEAligned.out.bam	align/Y8_S8_PEAligned.out.sorted.bam	align/Y9_S9_PEAligned.out.bam	align/Y9_S9_PEAligned.out.sorted.bam
cds-XP_713673.1	NC_032089.1	897942	899552	+	1611	3635	3635	3991	3991	3900	3900	5150	5150	4512	4512	4196	4196	3130	3130	4010	4010	3582	3582	4463	4463	3386	3386	3933	3933
cds-XP_713674.2	NC_032089.1	899992	900945	-	954	432	432	378	378	406	406	786	786	522	522	463	463	382	382	491	491	447	447	444	444	350	350	498	498
cds-XP_710411.2	NC_032089.1	901560	903929	-	2370	490	490	607	607	450	450	711	711	618	618	444	444	492	492	571	571	443	443	538	538	335	335	469	469
cds-XP_019330639.1	NC_032089.1	905274	905525	-	252	4402	4402	4634	4634	6021	6021	12080	12080	7828	7828	7448	7448	5518	5518	6964	6964	7131	7131	4935	4935	3429	3429	5306	5306
cds-XP_710409.1	NC_032089.1	905958	906560	-	603	4709	4709	5546	5546	5200	5200	6272	6272	4565	4565	4657	4657	3619	3619	4493	4493	4846	4846	4744	4744	4294	4294	4821	4821
cds-XP_710408.1	NC_032089.1	907132	908076	+	945	3205	3205	3441	3441	3274	3274	3582	3582	2859	2859	2688	2688	2340	2340	2607	2607	2398	2398	3585	3585	2798	2798	3223	3223
cds-XP_710406.2	NC_032089.1	908570	910795	-	2226	7825	7825	9013	9013	10516	10516	20414	20414	15088	15088	12807	12807	12355	12355	12356	12356	10912	10912	7526	7526	8426	8426	8366	8366
cds-XP_019330640.1	NC_032089.1;NC_032089.1	911109;914159	913713;914328	-;-	2775	43876	43876	48441	48441	51459	51459	111612	111612	84290	84290	62909	62909	64439	64439	76231	76231	57420	57420	49649	49649	35134	35134	47476	47476
cds-XP_710404.1	NC_032089.1	914539	915072	-	534	1615	1615	1558	1558	2075	2075	3300	3300	2538	2538	2156	2156	1841	1841	2327	2327	1945	1945	1802	1802	1234	1234	1681	1681
cds-XP_710403.1	NC_032089.1	915265	916104	-	840	4083	4083	4523	4523	4498	4498	7184	7184	6869	6869	7047	7047	5640	5640	7407	7407	6370	6370	4400	4400	3018	3018	4005	4005
cds-XP_019330641.1	NC_032089.1;NC_032089.1	916437;917227	917161;917263	-;-	762	151	151	170	170	163	163	680	680	488	488	404	404	279	279	456	456	411	411	147	147	97	97	185	185
cds-XP_710402.1	NC_032089.1	916801	917169	+	369	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
cds-XP_019330642.1	NC_032089.1;NC_032089.1	917491;918287	918215;918323	-;-	762	10180	10180	10519	10519	11488	11488	15202	15202	11078	11078	10145	10145	8471	8471	10105	10105	8537	8537	11668	11668	7166	7166	11109	11109
cds-XP_712226.1	NC_032089.1	918745	919554	-	810	188	188	210	210	199	199	556	556	415	415	340	340	279	279	373	373	232	232	241	241	177	177	255	255
cds-XP_712228.1	NC_032089.1	920167	920688	-	522	262	262	341	341	386	386	724	724	485	485	376	376	178	178	343	343	259	259	428	428	360	360	496	496
cds-XP_712230.2	NC_032089.1	921715	925908	-	4194	1880	1880	2024	2024	1627	1627	2357	2357	2237	2237	2255	2255	1757	1757	2112	2112	2037	2037	1894	1894	1411	1411	1626	1626
cds-XP_712231.2	NC_032089.1	926875	927996	+	1122	3395	3395	3729	3729	4608	4608	6076	6076	5064	5064	4115	4115	3889	3889	4194	4194	3840	3840	3085	3085	3094	3094	3272	3272
cds-XP_712232.1	NC_032089.1	929091	930743	+	1653	450	450	413	413	474	474	812	812	705	705	894	894	665	665	722	722	891	891	443	443	268	268	404	404
cds-XP_712233.1	NC_032089.1	931183	932622	+	1440	1082	1082	1147	1147	1088	1088	1623	1623	1338	1338	972	972	1053	1053	1313	1313	909	909	1108	1108	1031	1031	993	993
cds-XP_019330643.1	NC_032089.1;NC_032089.1	932754;933812	933732;933831	-;-	999	2568	2568	2725	2725	3032	3032	5369	5369	3732	3732	3419	3419	2697	2697	3254	3254	3350	3350	2664	2664	2003	2003	2757	2757
cds-XP_712235.2	NC_032089.1	934147	935706	-	1560	2720	2720	3165	3165	3048	3048	3796	3796	2834	2834	2524	2524	2182	2182	2574	2574	2497	2497	3166	3166	2511	2511	3098	3098
cds-XP_712236.2	NC_032089.1	936078	938918	-	2841	2685	2685	2985	2985	2911	2911	3932	3932	2948	2948	2824	2824	2466	2466	2974	2974	2744	2744	2843	2843	2588	2588	2689	2689
cds-XP_712237.1	NC_032089.1	939165	939467	+	303	295	295	316	316	352	352	642	642	461	461	425	425	356	356	417	417	395	395	371	371	242	242	367	367
cds-XP_712238.1	NC_032089.1	940013	941746	+	1734	529	529	688	688	574	574	753	753	643	643	581	581	470	470	544	544	592	592	611	611	525	525	606	606
cds-XP_712239.2	NC_032089.1	941946	943343	-	1398	504	504	562	562	588	588	827	827	771	771	628	628	504	504	676	676	511	511	513	513	533	533	553	553
cds-XP_712240.1	NC_032089.1	943640	944467	-	828	344	344	379	379	385	385	1316	1316	865	865	847	847	534	534	670	670	533	533	577	577	473	473	605	605
cds-XP_019330644.1	NC_032089.1	946251	946439	+	189	334	334	323	323	343	343	3480	3480	2590	2590	3295	3295	1021	1021	1575	1575	1922	1922	964	964	740	740	873	873
cds-XP_712241.2	NC_032089.1	947537	948574	-	1038	5992	5992	6483	6483	5076	5076	3753	3753	4805	4805	6142	6142	4618	4618	5936	5936	5321	5321	6088	6088	4518	4518	5578	5578
cds-XP_019330645.1	NC_032089.1;NC_032089.1;NC_032089.1	949329;949692;950049	949403;949834;951471	+;+;+	1641	171003	171003	183194	183194	169536	169536	30639	30639	130604	130604	160848	160848	136962	136962	174837	174837	98881	98881	183483	183483	108108	108108	167597	167597
cds-XP_712243.1	NC_032089.1	952320	954050	+	1731	4039	4039	4337	4337	4798	4798	6069	6069	4837	4837	3934	3934	3697	3697	4305	4305	3785	3785	4170	4170	3991	3991	4186	4186
cds-XP_713593.2	NC_032089.1	954196	957687	-	3492	3089	3089	3460	3460	3379	3379	5141	5141	4161	4161	3345	3345	3454	3454	3840	3840	3044	3044	3296	3296	2720	2720	3228	3228
cds-XP_713592.2	NC_032089.1	958785	960746	+	1962	2185	2185	2488	2488	2354	2354	3934	3934	3070	3070	2757	2757	2533	2533	3210	3210	2837	2837	2254	2254	1954	1954	2236	2236
cds-XP_713591.2	NC_032089.1	961930	964107	+	2178	105	105	111	111	70	70	134	134	123	123	87	87	102	102	149	149	122	122	91	91	86	86	104	104
cds-XP_713590.2	NC_032089.1	965166	970607	+	5442	3106	3106	3385	3385	2785	2785	1215	1215	1530	1530	1000	1000	1272	1272	1804	1804	1021	1021	3713	3713	2918	2918	3721	3721
cds-XP_713589.1	NC_032089.1	970917	972158	+	1242	2123	2123	2154	2154	2486	2486	3385	3385	2472	2472	2231	2231	1862	1862	2367	2367	2316	2316	2243	2243	2061	2061	2018	2018
cds-XP_713588.2	NC_032089.1	973480	974406	+	927	36210	36210	41802	41802	23239	23239	4844	4844	13775	13775	24182	24182	19865	19865	27686	27686	5682	5682	46968	46968	30854	30854	39050	39050
cds-XP_713586.2	NC_032089.1	974965	976872	-	1908	51	51	59	59	34	34	42	42	35	35	30	30	44	44	44	44	41	41	49	49	33	33	55	55
cds-XP_713585.2	NC_032089.1	977199	979934	-	2736	610	610	719	719	639	639	1609	1609	1208	1208	1130	1130	682	682	989	989	932	932	834	834	816	816	908	908
cds-XP_713583.2	NC_032089.1	980592	981179	-	588	1646	1646	1979	1979	1938	1938	2789	2789	1948	1948	1527	1527	1614	1614	1888	1888	1472	1472	1771	1771	1720	1720	1862	1862
cds-XP_019330646.1	NC_032089.1	982170	982391	+	222	159	159	165	165	58	58	72	72	88	88	75	75	99	99	133	133	51	51	162	162	115	115	84	84
cds-XP_713582.1	NC_032089.1	982545	983831	-	1287	6801	6801	7103	7103	7713	7713	9851	9851	7122	7122	6348	6348	5844	5844	6326	6326	5118	5118	7898	7898	5624	5624	7798	7798
cds-XP_713581.2	NC_032089.1	984729	985775	+	1047	296	296	238	238	236	236	590	590	465	465	283	283	356	356	350	350	342	342	324	324	305	305	291	291
cds-XP_713579.2	NC_032089.1	986263	987447	+	1185	188	188	235	235	214	214	383	383	354	354	241	241	218	218	275	275	194	194	285	285	214	214	303	303
cds-XP_713578.2	NC_032089.1	987525	990488	-	2964	2323	2323	2532	2532	2251	2251	3012	3012	2724	2724	2471	2471	1942	1942	2251	2251	1966	1966	3138	3138	2899	2899	2963	2963
cds-XP_713577.1	NC_032089.1	991622	992782	-	1161	3634	3634	3881	3881	3235	3235	9718	9718	9881	9881	7422	7422	4185	4185	5128	5128	3120	3120	9776	9776	8340	8340	8432	8432
cds-XP_713575.2	NC_032089.1	994377	997034	-	2658	2568	2568	2905	2905	2473	2473	2735	2735	2712	2712	2916	2916	1913	1913	2735	2735	2558	2558	3276	3276	2867	2867	2914	2914
cds-XP_713573.1	NC_032089.1	997297	997971	+	675	1167	1167	1256	1256	1306	1306	557	557	483	483	488	488	396	396	519	519	385	385	1609	1609	1090	1090	1375	1375
cds-XP_713572.2	NC_032089.1	998118	1000229	-	2112	70	70	90	90	33	33	54	54	55	55	28	28	70	70	63	63	55	55	71	71	58	58	62	62
cds-XP_713571.2	NC_032089.1	1001617	1003743	+	2127	2309	2309	2667	2667	2019	2019	2037	2037	2204	2204	2253	2253	1367	1367	2186	2186	2075	2075	2344	2344	1481	1481	2077	2077
cds-XP_713570.1	NC_032089.1	1003914	1004285	-	372	883	883	858	858	819	819	706	706	680	680	837	837	551	551	810	810	707	707	888	888	738	738	775	775
cds-XP_713569.2	NC_032089.1	1004469	1007279	+	2811	16108	16108	17918	17918	14222	14222	15461	15461	15471	15471	15449	15449	13684	13684	17011	17011	13666	13666	16785	16785	12888	12888	14627	14627
cds-XP_713568.1	NC_032089.1	1007444	1007815	-	372	501	501	475	475	458	458	516	516	405	405	351	351	317	317	434	434	317	317	522	522	440	440	507	507
cds-XP_713567.1	NC_032089.1	1008955	1011525	+	2571	4750	4750	5260	5260	4909	4909	5932	5932	4962	4962	4472	4472	3693	3693	4588	4588	4272	4272	4944	4944	4689	4689	4786	4786
cds-XP_713566.2	NC_032089.1	1012991	1014757	+	1767	711	711	857	857	687	687	480	480	418	418	143	143	330	330	394	394	153	153	784	784	625	625	716	716
cds-XP_713565.1	NC_032089.1	1015097	1015459	-	363	1306	1306	1461	1461	1423	1423	1948	1948	1401	1401	1497	1497	1065	1065	1263	1263	1460	1460	1284	1284	1023	1023	1236	1236
cds-XP_713564.2	NC_032089.1	1015786	1016976	+	1191	23827	23827	24869	24869	22080	22080	23956	23956	26734	26734	24838	24838	22716	22716	29493	29493	22236	22236	25248	25248	18701	18701	22282	22282
cds-XP_713563.2	NC_032089.1	1017681	1019972	+	2292	969	969	1084	1084	1093	1093	1524	1524	1219	1219	997	997	971	971	1159	1159	1054	1054	1046	1046	1024	1024	1032	1032
cds-XP_713562.2	NC_032089.1	1020126	1021085	-	960	198	198	242	242	172	172	2033	2033	1657	1657	1661	1661	1432	1432	1747	1747	1512	1512	185	185	170	170	168	168
cds-XP_713561.1	NC_032089.1	1021667	1022368	-	702	17	17	25	25	19	19	94	94	53	53	65	65	67	67	106	106	79	79	29	29	23	23	14	14
cds-XP_713560.1	NC_032089.1	1023215	1023751	-	537	26	26	54	54	11	11	49	49	47	47	28	28	37	37	48	48	34	34	32	32	23	23	38	38
cds-XP_713559.2	NC_032089.1	1028271	1032458	-	4188	4173	4173	4550	4550	3722	3722	5898	5898	5396	5396	5063	5063	4263	4263	5542	5542	4192	4192	4036	4036	3768	3768	3498	3498
cds-XP_710861.2	NC_032089.1	1033844	1035829	-	1986	1043	1043	1055	1055	1269	1269	1709	1709	1184	1184	1005	1005	945	945	1075	1075	1225	1225	1072	1072	1194	1194	1018	1018
cds-XP_710862.2	NC_032089.1	1036804	1040895	+	4092	19039	19039	20440	20440	19376	19376	22097	22097	17339	17339	18402	18402	16604	16604	17483	17483	16734	16734	18478	18478	18623	18623	17525	17525
cds-XP_710863.2	NC_032089.1	1041964	1043523	-	1560	2907	2907	3009	3009	3225	3225	4631	4631	3321	3321	3282	3282	2739	2739	3422	3422	2860	2860	3137	3137	2356	2356	2964	2964
cds-XP_710864.2	NC_032089.1	1044362	1045495	-	1134	1470	1470	1689	1689	2144	2144	3193	3193	2289	2289	2012	2012	1710	1710	1956	1956	2051	2051	1494	1494	1454	1454	1767	1767
cds-XP_710865.2	NC_032089.1	1048309	1050273	+	1965	5011	5011	5688	5688	5305	5305	8970	8970	6648	6648	5159	5159	5883	5883	6600	6600	4674	4674	5075	5075	4763	4763	4820	4820
cds-XP_710866.2	NC_032089.1	1050452	1051426	-	975	484	484	462	462	467	467	712	712	531	531	445	445	495	495	492	492	393	393	478	478	540	540	514	514
cds-XP_710867.2	NC_032089.1	1051994	1053736	-	1743	795	795	865	865	767	767	1633	1633	1003	1003	998	998	932	932	1083	1083	958	958	799	799	753	753	795	795
cds-XP_019330647.1	NC_032089.1;NC_032089.1	1054104;1054680	1054595;1054799	-;-	612	529	529	451	451	535	535	589	589	487	487	435	435	305	305	446	446	438	438	538	538	480	480	484	484
cds-XP_710869.2	NC_032089.1	1055313	1057673	-	2361	6744	6744	7550	7550	7478	7478	13044	13044	9503	9503	7650	7650	7935	7935	9022	9022	7488	7488	7407	7407	6309	6309	7256	7256
cds-XP_710870.2	NC_032089.1	1058030	1059178	+	1149	3375	3375	3539	3539	4209	4209	6684	6684	4677	4677	3915	3915	3718	3718	4239	4239	3156	3156	2993	2993	3548	3548	3595	3595
cds-XP_710733.2	NC_032089.1	1059228	1061885	-	2658	3598	3598	3760	3760	3410	3410	4643	4643	3355	3355	2793	2793	2670	2670	3444	3444	2673	2673	3656	3656	3046	3046	3408	3408
cds-XP_710732.2	NC_032089.1	1064009	1065736	+	1728	429	429	440	440	395	395	378	378	312	312	146	146	215	215	301	301	173	173	410	410	378	378	405	405
cds-XP_710731.2	NC_032089.1	1066117	1067232	+	1116	1263	1263	1370	1370	1766	1766	2327	2327	1804	1804	1581	1581	1274	1274	1502	1502	1432	1432	1450	1450	1176	1176	1478	1478
cds-XP_710730.2	NC_032089.1	1067544	1068347	+	804	451	451	419	419	381	381	376	376	297	297	366	366	267	267	360	360	313	313	421	421	393	393	380	380
cds-XP_710729.1	NC_032089.1	1068523	1069635	-	1113	22682	22682	23285	23285	25781	25781	57718	57718	41175	41175	34398	34398	31608	31608	40560	40560	34550	34550	24206	24206	17570	17570	23385	23385
cds-XP_710728.2	NC_032089.1	1070515	1071795	+	1281	623	623	644	644	671	671	1484	1484	1084	1084	919	919	918	918	979	979	945	945	635	635	618	618	574	574
cds-XP_710725.2	NC_032089.1	1082624	1083892	+	1269	165	165	150	150	89	89	176	176	217	217	916	916	193	193	370	370	777	777	130	130	92	92	93	93
cds-XP_715884.2	NC_032089.1	1084950	1085183	-	234	17	17	3	3	6	6	4	4	10	10	7	7	13	13	8	8	14	14	3	3	13	13	16	16
cds-XP_715883.1	NC_032089.1	1092614	1093810	-	1197	536	536	602	602	480	480	893	893	746	746	2473	2473	535	535	703	703	2600	2600	493	493	468	468	536	536
cds-XP_715882.2	NC_032089.1	1094679	1095959	-	1281	4881	4881	5634	5634	5747	5747	6481	6481	5050	5050	5138	5138	3781	3781	4575	4575	5386	5386	4990	4990	4377	4377	5491	5491
cds-XP_019330648.1	NC_032089.1;NC_032089.1	1097142;1097501	1097347;1097528	-;-	234	1119	1119	1137	1137	1005	1005	1579	1579	1247	1247	1111	1111	1145	1145	1314	1314	1016	1016	1245	1245	968	968	1047	1047
cds-XP_019330649.1	NC_032089.1;NC_032089.1	1098256;1098552	1098449;1098588	-;-	231	1659	1659	1747	1747	1958	1958	3606	3606	2467	2467	2078	2078	1941	1941	2518	2518	1991	1991	1966	1966	1722	1722	1892	1892
cds-XP_715881.2	NC_032089.1	1099257	1100150	-	894	284	284	277	277	160	160	239	239	222	222	181	181	207	207	215	215	224	224	260	260	168	168	182	182
cds-XP_715880.2	NC_032089.1	1101241	1102398	-	1158	4250	4250	4553	4553	4995	4995	8300	8300	6007	6007	5155	5155	4556	4556	5176	5176	5104	5104	4242	4242	3855	3855	4380	4380
cds-XP_715879.1	NC_032089.1	1102611	1103048	-	438	279	279	328	328	381	381	564	564	401	401	296	296	341	341	380	380	260	260	329	329	307	307	379	379
cds-XP_715878.1	NC_032089.1	1103297	1103884	+	588	710	710	714	714	702	702	1315	1315	889	889	746	746	859	859	857	857	639	639	820	820	727	727	780	780
cds-XP_715876.1	NC_032089.1	1104007	1105341	-	1335	5389	5389	5576	5576	6119	6119	7216	7216	6204	6204	6216	6216	4605	4605	5421	5421	6030	6030	5544	5544	4049	4049	5454	5454
cds-XP_715877.1	NC_032089.1	1104248	1104862	+	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cds-XP_715875.1	NC_032089.1	1105631	1107547	-	1917	3221	3221	3340	3340	3615	3615	3766	3766	3419	3419	2888	2888	2539	2539	2962	2962	2763	2763	3372	3372	2350	2350	3230	3230
cds-XP_715874.1	NC_032089.1	1108146	1108865	-	720	2936	2936	3188	3188	4653	4653	6657	6657	4588	4588	3977	3977	2947	2947	3613	3613	4427	4427	3131	3131	3054	3054	3530	3530
cds-XP_715873.2	NC_032089.1	1109135	1110883	+	1749	1105	1105	1281	1281	1230	1230	1801	1801	1192	1192	1229	1229	1090	1090	1237	1237	1174	1174	1305	1305	1011	1011	1077	1077
cds-XP_715872.1	NC_032089.1	1111172	1113130	+	1959	31296	31296	33301	33301	34749	34749	48581	48581	36832	36832	33353	33353	30329	30329	35388	35388	30904	30904	33919	33919	26003	26003	33100	33100
cds-XP_715869.1	NC_032089.1	1113320	1115428	-	2109	3932	3932	4700	4700	4565	4565	7621	7621	6178	6178	5617	5617	4881	4881	5898	5898	6097	6097	4495	4495	3624	3624	4274	4274
cds-XP_715868.2	NC_032089.1	1116245	1117987	-	1743	815	815	942	942	861	861	1391	1391	1078	1078	1074	1074	814	814	958	958	1046	1046	938	938	726	726	837	837
cds-XP_715867.2	NC_032089.1	1118242	1119618	-	1377	845	845	981	981	1018	1018	2005	2005	1265	1265	1034	1034	898	898	1038	1038	991	991	966	966	805	805	1040	1040
cds-XP_715866.2	NC_032089.1	1119919	1122246	-	2328	3425	3425	3774	3774	3690	3690	5116	5116	4130	4130	3861	3861	2949	2949	3565	3565	3643	3643	3695	3695	2956	2956	3532	3532
cds-XP_715865.1	NC_032089.1	1123169	1123828	+	660	377	377	466	466	410	410	593	593	475	475	379	379	326	326	397	397	383	383	392	392	333	333	438	438
cds-XP_715864.1	NC_032089.1	1123871	1125682	-	1812	3947	3947	3954	3954	4607	4607	7737	7737	5590	5590	4749	4749	4500	4500	4544	4544	4167	4167	4214	4214	3639	3639	4065	4065
cds-XP_715863.2	NC_032089.1	1125926	1128109	-	2184	1143	1143	1190	1190	1125	1125	972	972	940	940	1132	1132	835	835	1041	1041	1107	1107	1073	1073	869	869	1013	1013
cds-XP_715862.2	NC_032089.1	1128387	1133384	-	4998	4992	4992	5714	5714	5748	5748	6464	6464	5357	5357	4153	4153	4166	4166	4968	4968	4124	4124	5223	5223	4539	4539	5239	5239
cds-XP_715861.2	NC_032089.1	1133457	1135511	-	2055	3023	3023	3190	3190	2941	2941	4037	4037	3179	3179	3100	3100	3028	3028	3427	3427	2937	2937	3045	3045	2747	2747	3027	3027
cds-XP_715860.1	NC_032089.1	1135748	1136341	-	594	651	651	678	678	770	770	1146	1146	826	826	757	757	598	598	753	753	723	723	677	677	544	544	574	574
cds-XP_715859.1	NC_032089.1	1136528	1137082	-	555	1814	1814	1891	1891	2133	2133	2981	2981	2383	2383	2155	2155	1825	1825	2199	2199	1961	1961	2299	2299	1438	1438	2124	2124
cds-XP_715858.1	NC_032089.1	1137313	1137870	+	558	1229	1229	1432	1432	1314	1314	1600	1600	1216	1216	1118	1118	1046	1046	1137	1137	934	934	1410	1410	1047	1047	1313	1313
cds-XP_715857.2	NC_032089.1	1138277	1140532	+	2256	831	831	1056	1056	633	633	613	613	787	787	693	693	637	637	831	831	656	656	729	729	554	554	749	749
cds-XP_715854.2	NC_032089.1	1141075	1142832	-	1758	91	91	131	131	67	67	133	133	124	124	102	102	103	103	126	126	112	112	94	94	83	83	84	84
cds-XP_715855.1	NC_032089.1	1142087	1142581	+	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cds-XP_715853.1	NC_032089.1	1143981	1148279	+	4299	5251	5251	5923	5923	3857	3857	4549	4549	4655	4655	5010	5010	4510	4510	6196	6196	4720	4720	5154	5154	3775	3775	4249	4249
cds-XP_715852.2	NC_032089.1	1149114	1150163	+	1050	2586	2586	2685	2685	2599	2599	3205	3205	2761	2761	2304	2304	1807	1807	2136	2136	2149	2149	3046	3046	2373	2373	2714	2714
cds-XP_715851.1	NC_032089.1	1150297	1151418	-	1122	131	131	172	172	84	84	177	177	144	144	103	103	104	104	153	153	110	110	147	147	104	104	112	112
cds-XP_715850.1	NC_032089.1	1151708	1152454	-	747	3269	3269	3541	3541	3369	3369	5584	5584	4293	4293	4157	4157	3360	3360	4224	4224	4022	4022	3547	3547	2469	2469	3188	3188
cds-XP_715849.1	NC_032089.1	1152769	1155042	+	2274	2809	2809	3091	3091	3330	3330	4917	4917	3748	3748	2964	2964	3029	3029	3191	3191	2703	2703	2574	2574	3016	3016	2751	2751
cds-XP_019330650.1	NC_032089.1	1155542	1155790	-	249	233	233	239	239	187	187	430	430	287	287	246	246	237	237	239	239	217	217	240	240	287	287	210	210
cds-XP_715848.2	NC_032089.1	1158880	1160955	+	2076	413	413	519	519	269	269	187	187	240	240	297	297	271	271	449	449	246	246	371	371	348	348	360	360
cds-XP_019330651.1	NC_032089.1;NC_032089.1	1161281;1162881	1162770;1162890	-;-	1500	5317	5317	5613	5613	4862	4862	6971	6971	6208	6208	5708	5708	5943	5943	6243	6243	4633	4633	5818	5818	5294	5294	5032	5032
cds-XP_715846.2	NC_032089.1	1163603	1164622	-	1020	353	353	366	366	488	488	763	763	675	675	488	488	398	398	592	592	652	652	375	375	410	410	364	364
cds-XP_019330652.1	NC_032089.1;NC_032089.1	1166877;1167129	1167045;1167580	+;+	621	3217	3217	3505	3505	3778	3778	4114	4114	3213	3213	2875	2875	2290	2290	2655	2655	2496	2496	3820	3820	2961	2961	3568	3568
cds-XP_718514.2	NC_032089.1	1169206	1173921	+	4716	1053	1053	1087	1087	927	927	1549	1549	1297	1297	1097	1097	1087	1087	1219	1219	1084	1084	1110	1110	908	908	946	946
cds-XP_718513.2	NC_032089.1	1174224	1175690	+	1467	2000	2000	2380	2380	2312	2312	2868	2868	2415	2415	2121	2121	1827	1827	2059	2059	2063	2063	2222	2222	1850	1850	2044	2044
cds-XP_718511.1	NC_032089.1	1175776	1177029	-	1254	373	373	406	406	391	391	624	624	470	470	256	256	443	443	525	525	349	349	398	398	323	323	354	354
cds-XP_718510.2	NC_032089.1	1177543	1180872	-	3330	70221	70221	77452	77452	69472	69472	90273	90273	79564	79564	67940	67940	71893	71893	81833	81833	60302	60302	75626	75626	57605	57605	69536	69536
cds-XP_718509.1	NC_032089.1	1181156	1182355	-	1200	1698	1698	1873	1873	1912	1912	3659	3659	2572	2572	1981	1981	2221	2221	2186	2186	1785	1785	1732	1732	1633	1633	1781	1781
cds-XP_718508.1	NC_032089.1	1182507	1183265	+	759	888	888	1052	1052	1164	1164	2023	2023	1433	1433	1233	1233	1109	1109	1352	1352	1168	1168	1108	1108	883	883	1034	1034
cds-XP_718506.2	NC_032089.1	1183318	1187598	-	4281	20436	20436	23088	23088	20334	20334	28245	28245	22697	22697	20380	20380	20522	20522	23249	23249	19416	19416	21552	21552	17785	17785	19612	19612
cds-XP_718505.1	NC_032089.1	1188181	1189434	+	1254	3181	3181	3534	3534	3757	3757	4821	4821	3720	3720	3116	3116	2831	2831	3375	3375	3212	3212	3523	3523	2853	2853	3484	3484
cds-XP_718504.1	NC_032089.1	1189532	1189963	-	432	2856	2856	3075	3075	3646	3646	5496	5496	4227	4227	4012	4012	3253	3253	3643	3643	3246	3246	3727	3727	2026	2026	3485	3485
cds-XP_718502.1	NC_032089.1	1190242	1190988	-	747	43	43	61	61	20	20	36	36	13	13	11	11	35	35	37	37	15	15	28	28	31	31	49	49
cds-XP_019330653.1	NC_032089.1;NC_032089.1	1191581;1191699	1191614;1192072	+;+	408	533	533	578	578	600	600	673	673	575	575	395	395	495	495	596	596	409	409	605	605	443	443	565	565
cds-XP_718500.1	NC_032089.1	1192511	1194184	-	1674	238	238	228	228	198	198	384	384	320	320	185	185	272	272	357	357	207	207	197	197	169	169	234	234
cds-XP_019330654.1	NC_032089.1;NC_032089.1;NC_032089.1	1195171;1195767;1196082	1195178;1195857;1196708	+;+;+	726	94757	94757	106756	106756	106645	106645	141187	141187	123495	123495	112277	112277	95029	95029	127250	127250	97909	97909	104042	104042	70856	70856	93237	93237
cds-XP_718499.2	NC_032089.1	1196996	1198138	-	1143	492	492	586	586	553	553	706	706	610	610	471	471	430	430	509	509	512	512	526	526	488	488	474	474
cds-XP_718497.2	NC_032089.1	1198353	1203407	-	5055	5525	5525	6418	6418	6480	6480	9074	9074	6665	6665	5770	5770	5203	5203	6189	6189	5403	5403	5701	5701	5631	5631	5805	5805
