From	Entry	Gene Names (primary)
XP_711842.2	A0A1D8PHP6	SKY2
XP_718459.2	A0A1D8PDS9	SKY1
XP_713872.1	Q59WE2	SKP1
XP_019330633.1	Q59VR1	SKO1
XP_716809.1	Q5A4X5	SKN7
XP_720043.1	Q5AEC0	SKN2
XP_716603.2	A0A1D8PKE1	SKN1
XP_718099.1	Q5A8I4	SKI8
XP_723534.1	Q5APB7	SKI3
XP_716263.1	Q5A337	SKI2
XP_718168.2	A0A1D8PCK0	SIZ1
XP_711079.1	Q59MU0	SIW14
XP_710408.1	Q59KY8	SIT4
XP_716020.1	Q5A2T6	SIT1
XP_713489.1	Q59V92	SIS1
XP_719442.1	O59923	SIR2
XP_718480.2	Q5AA26	SIP5
XP_721545.2	A0A1D8PD21	SIP3
XP_711683.2	Q59PP6	SIN4
XP_019330605.1	A0A1D8PCC3	SIN3
XP_722234.1	Q5AKU5	SIM1
XP_716242.1	Q5A360	SIL1
XP_719331.1	A0A1D8PU46	SIK1
XP_723527.1	Q5APC5	SHY1
XP_718218.2	A0A1D8PS15	SHP1
XP_723458.2	Q5AQ36	SHO1
XP_718086.1	O13426	SHM2
XP_711682.2	A0A1D8PRB3	SHM1
XP_715337.1	Q5A0L7	SHE9
XP_719156.2	Q5ABV6	SHE3
XP_713763.1	Q59VY9	SHA3
XP_715364.1	Q5A0I8	SGT2
XP_714260.2	A0A1D8PIG5	SGT1
XP_717138.1	Q5A5R4	SGS1
XP_714909.2	A0A1D8PHC3	SGO1
XP_019330875.1	Q5A4H4	SGF11
XP_715705.2	A0A1D8PN41	SGE1
XP_715139.2	A0A1D8PSJ3	SGD1
XP_721790.1	Q5AJ73	SGA1
XP_723553.2	Q5AP95	SFU1
XP_713947.2	A0A1D8PEY1	SFT2
XP_019331053.1	A0A1D8PRX5	SFT1
XP_723164.1	Q5ANF0	SFP1
XP_721878.2	Q5AK51	SFL2
XP_715888.2	Q5A287	SFL1
XP_716985.2	A0A1D8PR88	SFI1
XP_723579.1	Q5AP66	SFH5
XP_717630.2	A0A1D8PEB6	SFH1
XP_721841.2	A0A1D8PNY6	SFC1
XP_712426.1	Q9C0L9	SEY1
XP_713759.1	Q59VZ3	SET6
XP_715734.2	Q5A1M3	SET5
XP_715022.1	A0A1D8PFV9	SET3
XP_714401.1	Q59XV0	SET2
XP_718971.1	Q5ABG1	SET1
XP_719967.2	Q9HGT6	SES1
XP_716332.1	Q5A3K7	SER33
XP_715378.1	Q5A0H3	SER2
XP_711476.1	Q59P52	SER1
XP_713774.1	Q59VX8	SEP7
XP_711773.2	A0A1D8PTA4	SEO1
XP_720485.1	Q5AF73	SEN2
XP_711958.2	A0A1D8PD63	SEN15
XP_723150.1	Q5ANG6	SEN1
XP_019330945.1	A0A1D8PMQ0	SEM1
XP_716027.1	Q5A2S9	SEH1
XP_711333.2	A0A1D8PN80	SEF2
XP_713441.1	Q59UY7	SEF1
XP_714323.2	Q59XP0	SEC9
XP_711320.2	A0A1D8PPF9	SEC8
XP_712634.1	Q59SJ2	SEC72
XP_723159.1	Q5ANF9	SEC7
XP_718224.1	Q5A9A9	SEC65
XP_717354.2	A0A1D8PSM6	SEC63
XP_721529.1	Q5AI21	SEC62
XP_710932.1	Q9P8E3	SEC61
XP_717834.1	Q5A7K3	SEC6
XP_710223.2	A0A1D8PQC5	SEC5
XP_718237.1	P0CY31	SEC4
XP_713884.1	Q59WC9	SEC34
XP_715567.2	A0A1D8PMI1	SEC3
XP_712507.2	A0A1D8PPV5	SEC27
XP_717391.1	Q5A6M6	SEC26
XP_723419.2	Q5AQ76	SEC24
XP_716562.2	Q5A455	SEC23
XP_019331077.1	A0A1D8PSL3	SEC22
XP_713569.2	A0A1D8PDE3	SEC21
XP_719091.2	A0A1D8PPX8	SEC20
XP_722139.2	Q5AL49	SEC2
XP_722199.2	A0A1D8PFN6	SEC18
XP_711547.2	A0A1D8PM29	SEC15
XP_716780.1	P46250	SEC14
XP_720011.2	Q5AEF2	SEC13
XP_716719.2	A0A1D8PPP9	SEC12
XP_717949.1	Q5A869	SEC11
XP_715396.2	A0A1D8PMS7	SEC10
XP_721320.1	Q5AH58	SEC1
XP_717654.2	Q5A744	SDS24
XP_720944.1	Q5AHH6	SDS22
XP_722630.2	A0A1D8PGP5	SDH8
XP_710499.1	Q59L89	SDH7
XP_721930.1	Q5AJZ8	SDH4
XP_711983.1	Q59QN7	SDH2
XP_715528.1	Q5A1E8	SDH12
XP_715875.1	Q5A2A1	SDH1
XP_712146.1	Q59R27	SDD3
XP_721810.1	A0A1D8PNX3	SDC1
XP_711714.1	Q59PR7	SDA1
XP_721440.1	Q5AIB2	SCW4
XP_721805.2	A0A1D8PNW1	SCW11
XP_715356.1	Q5A0J6	SCT2
XP_710056.2	A0A1D8PJ38	SCT1
XP_717227.1	Q5A668	SCS7
XP_717095.2	A0A1D8PM16	SCS3
XP_711824.2	A0A1D8PHP1	SCP1
XP_716459.1	A0A1D8PTX2	SCO1
XP_721745.1	Q5AJC3	SCM3
XP_717755.2	A0A1D8PJ20	SCL1
XP_720953.2	Q5AHG6	SCH9
XP_723070.1	Q5ANP6	SBP1
XP_718085.2	A0A1D8PQ94	SBA1
XP_718208.2	A0A1D8PS09	SAS3
XP_719533.1	Q5ACY2	SAS2
XP_720467.2	A0A1D8PLN1	SAS10
XP_019331008.1	Q59S78	SAR1
XP_720977.1	A0A1D8PGZ9	SAP99
XP_720976.2	A0A1D8PGX5	SAP98
XP_712729.2	Q59SU1	SAP9
XP_719941.1	Q5AEM6	SAP8
XP_713566.2	Q59VH7	SAP7
XP_719105.1	Q5AC08	SAP6
XP_719147.1	P43094	SAP5
XP_718054.1	Q5A8N2	SAP4
XP_719529.2	A0A1D8PG34	SAP30
XP_723210.1	P0CY29	SAP3
XP_711047.1	P0DJ06	SAP2
XP_716982.2	A0A1D8PR81	SAP190
XP_711988.1	Q59QN2	SAP155
XP_717243.1	Q5A651	SAP10
XP_718053.2	P0CY27	SAP1
XP_716764.2	A0A1D8PN01	SAM51
XP_716599.1	A0A1D8PKC1	SAM50
XP_711874.2	A0A1D8PEB0	SAM4
XP_722576.1	Q5ALP4	SAM37
XP_715064.1	A0A1D8PFY3	SAM35
XP_713791.2	A0A1D8PF68	SAM2
XP_718094.2	A0A1D8PQA0	SAL6
XP_717244.1	Q5A650	SAK1
XP_721821.1	P83783	SAH1
XP_720405.1	A0A1D8PQG5	SAC7
XP_719107.2	A0A1D8PPY8	SAC6
XP_722598.2	A0A1D8PGL7	SAC3
XP_723550.2	A0A1D8PEV5	SAC1
XP_714927.2	A0A1D8PHC7	RXT3
XP_710570.2	Q59LF3	RVS167
XP_711567.2	Q59PE4	RVS162
XP_720414.2	Q5AFE4	RVS161
XP_721377.1	Q5AGZ9	RVB2
XP_715438.1	Q5A0W7	RVB1
XP_720642.2	A0A1D8PNK9	RUT1
XP_019330848.1	A0A1D8PJP6	RUB1
XP_718648.1	Q5AAJ8	RTT109
XP_712295.2	Q59S27	RTT106
XP_718787.1	Q5AAW4	RTT102
XP_718464.2	A0A1D8PDR1	RTT101
XP_711827.1	Q59Q44	RTS1
XP_714686.1	A0A1D8PK98	RTK1
XP_713920.2	A0A1D8PF20	RTG3
XP_723409.1	Q5APP3	RTG1
XP_720340.2	A0A1D8PQN1	RTF1
XP_719389.1	Q5ACL4	RTC1
XP_711296.1	A0A1D8PU07	RTA4
XP_711830.2	A0A1D8PHN5	RTA3
XP_711831.1	Q59Q40	RTA2
XP_019331063.1	A0A1D8PS50	RSR1
XP_714470.1	Q59Y21	RSP5
XP_720042.1	Q5AEC1	RSN1
XP_723437.2	Q5AQ57	RSM25
XP_715849.1	Q5A2C7	RSM22
XP_719849.1	Q5ADT9	RSM10
XP_717766.1	Q5A7S5	RSE1
XP_718494.1	Q5AA11	RSC9
XP_715034.1	A0A1D8PFW3	RSC8
XP_019330739.1	A0A1D8PG45	RSC58
XP_719490.2	A0A1D8PG88	RSC4
XP_721463.2	A0A1D8PCV8	RSC2
XP_713583.2	Q59VF9	RSA3
XP_721779.2	Q5AJ85	RRT14
XP_718976.1	A0A1D8PCC8	RRS1
XP_715761.1	Q5A213	RRP9
XP_714472.2	A0A1D8PI52	RRP8
XP_710869.2	A0A1D8PDF4	RRP6
XP_710541.2	A0A1D8PLY1	RRP42
XP_712652.2	Q59SN0	RRP36
XP_719308.2	Q5ACU6	RRP3
XP_710002.1	A0A1D8PIJ2	RRP15
XP_710488.1	Q59L42	RRN3
XP_713078.2	A0A1D8PT86	RRN11
XP_712734.1	Q59ST6	RRD2
XP_719888.1	Q5ADP9	RRD1
XP_714440.2	A0A1D8PI93	RPT6
XP_715432.2	A0A1D8PMQ4	RPT5
XP_717345.1	Q5A6S2	RPT4
XP_717812.2	A0A1D8PIV7	RPT2
XP_715876.1	Q5A2A0	RPT1
XP_019330762.1	A0A1D8PGY8	RPS9B
XP_712803.1	Q59T44	RPS8A
XP_721772.1	Q5AJ93	RPS7A
XP_019330905.1	A0A1D8PL99	RPS6A
XP_720641.1	Q5AG43	RPS5
XP_717144.1	Q5A5Q8	RPS4A
XP_019330612.1	A0A1D8PCI6	RPS42
XP_019331075.1	A0A1D8PSK2	RPS30
XP_711097.2	A0A1D8PSV5	RPS3
XP_019331021.1	A0A1D8PQN0	RPS28B
XP_019330650.1	A0A1D8PDP4	RPS27A
XP_019331100.1	A0A1D8PTI7	RPS27
XP_722520.1	Q5ALV6	RPS26A
XP_711416.1	A0A1D8PNQ6	RPS25B
XP_717837.1	Q5A7K0	RPS24
XP_718841.2	A0A1D8PDU3	RPS23A
XP_019330631.1	P0CU35	RPS22B
XP_019330631.1	Q96W54	RPS22A
XP_718852.1	Q96W54	RPS22A
XP_019330609.1	A0A1D8PCG7	RPS21B
XP_718157.1	Q5A900	RPS21
XP_716215.1	Q5A389	RPS20
XP_019330873.1	A0A1D8PK61	RPS19A
XP_019331024.1	A0A1D8PQQ5	RPS18
XP_019330692.1	A0A1D8PEY9	RPS17B
XP_019330621.1	A0A1D8PCW6	RPS16A
XP_019330867.1	A0A1D8PK22	RPS15
XP_019330658.1	A0A1D8PDT3	RPS14B
XP_019330988.1	A0A1D8PPE0	RPS13
XP_719881.1	Q5ADQ6	RPS12
XP_019330801.1	A0A1D8PI15	RPS10
XP_721500.1	P40910	RPS1
XP_019330874.1	O42817	RPS0
XP_717407.1	Q5A6L0	RPR2
XP_723140.1	Q5ANH5	RPP2B
XP_019331105.1	A0A1D8PTS0	RPP2A
XP_715237.1	A0A1D8PRG5	RPP1B
XP_721490.1	Q9HFQ7	RPP1A
XP_713634.1	A0A1D8PD31	RPP1
XP_720309.1	A0A1D8PQS0	RPP0
XP_719003.2	A0A1D8PCA4	RPO41
XP_712026.1	Q59QT0	RPO26
XP_719414.1	A0A1D8PUA6	RPO21
XP_719443.2	A0A1D8PGA6	RPN9
XP_714586.2	A0A1D8PNA8	RPN8
XP_716421.1	A0A1D8PTV0	RPN7
XP_709940.1	A0A1D8PLW8	RPN6
XP_721942.2	A0A1D8PP77	RPN5
XP_713673.1	Q59VM4	RPN4
XP_721552.2	A0A1D8PD15	RPN3
XP_716329.1	Q5A3L0	RPN2
XP_019330637.1	A0A1D8PDB0	RPN13
XP_712597.1	Q59SD0	RPN12
XP_715061.1	A0A1D8PFZ8	RPN11
XP_714273.1	Q59X29	RPN10
XP_722167.2	A0A1D8PFL7	RPN1
XP_713559.2	A0A1D8PDF0	RPM2
XP_719935.1	Q5AEN2	RPL9B
XP_723211.1	Q5ANA1	RPL8B
XP_019330695.1	A0A1D8PF11	RPL82
XP_019330654.1	A0A1D8PDL6	RPL7A
XP_441054.1	Q59V85	RPL7
XP_019330624.1	A0A1D8PCX8	RPL6
XP_721379.1	Q5AGZ7	RPL5
XP_715018.1	A0A1D8PFV1	RPL4B
XP_019330689.1	A0A1D8PEV4	RPL44
XP_019330980.1	A0A1D8PP14	RPL43A
XP_019330903.1	A0A1D8PL68	RPL40B
XP_019330659.1	A0A1D8PDT4	RPL39
XP_019330734.1	A0A1D8PG16	RPL38
XP_019330701.1	A0A1D8PF45	RPL37B
XP_019330870.1	A0A1D8PK30	RPL35
XP_019330665.1	A0A1D8PDZ1	RPL34B
XP_019330781.1	A0A1D8PHH4	RPL33A
XP_019331001.1	A0A1D8PPN6	RPL32
XP_019330776.1	A0A1D8PHF5	RPL31B
XP_019330929.1	A0A1D8PM75	RPL30
XP_710682.1	Q59LS1	RPL3
XP_019330696.1	A0A1D8PF57	RPL29
XP_019331067.1	A0A1D8PSC5	RPL28
XP_019330710.1	A0A1D8PFG4	RPL27A
XP_019330618.1	A0A1D8PCQ5	RPL26B
XP_019331006.1	A0A1D8PPS1	RPL25
XP_717194.1	Q5A6A1	RPL24A
XP_019331007.1	A0A1D8PPT5	RPL23A
XP_019330926.1	A0A1D8PM41	RPL22B
XP_019330761.1	A0A1D8PGY0	RPL21A
XP_722704.1	A0A1D8PLC9	RPL20B
XP_019330698.1	A0A1D8PF08	RPL2
XP_019330865.1	A0A1D8PK40	RPL19A
XP_019330871.1	A0A1D8PK43	RPL18
XP_712916.1	Q59TE0	RPL17B
XP_719047.1	Q5AB87	RPL16A
XP_717356.1	Q5A6R1	RPL15A
XP_019330719.1	A0A1D8PFL9	RPL14
XP_721492.1	O59931	RPL13
XP_721712.1	Q5AJF7	RPL12
XP_019330794.1	A0A1D8PHW1	RPL11
XP_712505.1	Q9UVJ4	RPL10A
XP_721434.1	Q5AIB8	RPL10
XP_711563.1	Q59PL9	RPG1A
XP_714912.1	Q59ZG6	RPF2
XP_720420.1	Q5AFD8	RPF1
XP_719896.1	Q5ADP0	RPD31
XP_715765.2	A0A1D8PSA6	RPD3
XP_715778.2	Q5A246	RPC82
XP_720466.2	A0A1D8PLP0	RPC53
XP_714923.2	A0A1D8PHD8	RPC40
XP_715762.2	A0A1D8PS98	RPC31
XP_710709.1	Q59LT9	RPC19
XP_717162.1	Q5A5N9	RPC11
XP_715053.2	A0A1D8PFX2	RPC10
XP_711099.1	Q59MZ8	RPB8
XP_718170.1	Q5A8Y7	RPB7
XP_710597.2	A0A1D8PH80	RPB4
XP_019330606.1	A0A1D8PCD0	RPB11
XP_723578.1	Q5AP67	RPA34
XP_710723.2	A0A1D8PEX3	RPA190
XP_720354.1	A0A1D8PQM4	RPA135
XP_714876.2	A0A1D8PHV8	RPA12
XP_716812.1	Q5A4X3	ROT2
XP_718991.1	Q5ABP8	ROT1
XP_717376.1	Q5A6P1	RON1
XP_721025.1	Q5AH90	ROM2
XP_722555.2	A0A1D8PGG1	ROD1
XP_019330725.1	A0A1D8PFP2	ROB1
XP_712956.2	A0A1D8PCM6	ROA1
XP_721820.1	Q5AKB1	RNY1-B
XP_710800.2	A0A1D8PT08	RNR3
XP_713125.2	A0A1D8PI17	RNR22
XP_715342.1	Q5A0L0	RNR21
XP_715320.1	Q5A0N3	RNR1
XP_721398.1	Q5AGX6	RNH35
XP_719125.1	Q5ABY8	RNH1
XP_722575.2	Q5AM44	RNA14
XP_721726.2	A0A1D8PJD7	RNA1
XP_716759.2	A0A1D8PMZ3	RMT2
XP_712036.2	A0A1D8PNN9	RMS1
XP_722172.2	A0A1D8PFN8	RMP1
XP_713882.1	Q59WD1	RME1
XP_716120.1	Q5A2V2	RMD9
XP_712645.1	Q59SI1	RLP24
XP_722733.2	A0A1D8PL95	RLM1
XP_721532.1	Q5AI20	RLI1
XP_721773.2	Q5AJ92	RKI1
XP_720530.2	A0A1D8PND0	RIX7
XP_712250.2	Q59RA0	RIX1
XP_719826.1	Q5ADW4	RIT1
XP_019330863.1	A0A1D8PJX3	RIP1
XP_716210.1	Q5A396	RIO2
XP_714310.2	Q59WV0	RIM9
XP_719051.1	Q9UW13	RIM8
XP_714594.1	Q59YK4	RIM21
XP_723486.1	Q9UW12	RIM20
XP_712925.1	Q59TD1	RIM2
XP_720337.1	A0A1D8PQP3	RIM15
XP_721903.1	Q5AK25	RIM13
XP_019330770.1	A0A1D8PH46	RIM111
XP_710126.1	A0A1D8PH74	RIM11
XP_715047.1	Q9UW14	RIM101
XP_718504.1	Q5AA01	RIM1
XP_718998.2	A0A1D8PCB4	RIC1
XP_711559.2	A0A1D8PFH0	RIB7
XP_721932.2	A0A1D8PP67	RIB5
XP_019330652.1	A0A1D8PDK6	RIB4
XP_716297.2	Q5A3V6	RIB3
XP_714595.2	A0A1D8PND6	RIB2
XP_715792.1	Q5A1Y2	RIB1
XP_713895.1	Q59WB7	RIA1
XP_717809.1	Q5A7M9	RHR2
XP_019330773.1	A0A1D8PH96	RHO3
XP_019330798.1	A0A1D8PHZ5	RHO2
XP_715774.1	O42825	RHO1
XP_717108.1	Q5A5U4	RHD3
XP_720421.1	A0A1D8PLR9	RHD2
XP_710865.2	Q59MA6	RHD1
XP_723204.1	Q5ANA9	RHB1
XP_019330813.1	A0A1D8PIE8	RHA1
XP_720497.2	A0A1D8PLL4	RGT1
XP_711768.2	A0A1D8PT93	RGS2
XP_710399.2	A0A1D8PTI9	RGD3
XP_718466.2	A0A1D8PDP3	RGD1
XP_722665.1	Q5AMQ3	RGA2
XP_722662.2	Q5AMQ6	RFX2
XP_713492.2	Q59V88	RFX1
XP_717379.1	Q5A6N8	RFT1
XP_715755.2	Q5A220	RFG1
XP_019330599.1	A0A1D8PC79	RFC52
XP_719478.2	A0A1D8PG80	RFC5
XP_719417.1	A0A1D8PU93	RFC4
XP_019330974.1	A0A1D8PNV1	RFC3
XP_720328.1	A0A1D8PQP2	RFC2
XP_019330783.1	A0A1D8PHI0	RFC1
XP_723516.1	Q5APD5	RFA3
XP_714857.1	Q59Z33	RFA2
XP_719539.1	Q5ACX4	RFA1
XP_716289.1	Q5A3Q0	REX4
XP_722159.2	Q5AL29	REX3
XP_722516.2	A0A1D8PGG3	REX2
XP_716630.2	A0A1D8PKE9	REV3
XP_711860.1	Q59Q77	REV1
XP_720546.2	A0A1D8PND9	RET2
XP_721936.1	Q5AJZ3	RER2
XP_718678.1	A0A1D8PRN4	REP1
XP_710870.2	A0A1D8PDH5	REI1
XP_719454.2	A0A1D8PGA2	REG1
XP_713586.2	A0A1D8PDC0	REC8
XP_723179.1	Q5AND4	RDI1
XP_717169.1	Q5A5N2	RDH54
XP_714619.2	A0A1D8PNB6	RCY1
XP_716591.1	A0A1D8PKD1	RCT1
XP_714329.1	A0A1D8PPK4	RCN1
XP_713143.1	A0A1D8PHX2	RCL1
XP_714858.2	A0A1D8PI07	RCK2
XP_713344.1	Q59UQ7	RCH1
XP_019330971.1	Q59N74	RCF1
XP_717229.2	A0A1D8PM34	RCE1
XP_719061.1	Q5AB69	RCA1
XP_720434.1	A0A1D8PLR0	RBT7
XP_713317.1	Q59UT4	RBT5
XP_718792.2	Q5AB48	RBT4
XP_709966.2	Q59TP1	RBT1
XP_711686.2	Q5A5M7	RBR3
XP_717395.2	Q5A6M2	RBR2
XP_717398.1	Q5A6M0	RBR1
XP_710751.1	P28870	RBP1; RBP2
XP_711562.2	A0A1D8PFI3	RBK1
XP_719121.1	Q5ABZ2	RBF1
XP_715019.1	Q59ZX3	RBE1
XP_721364.1	Q5AH12	RBD2
XP_716303.2	A0A1D8PFE0	RBD1
XP_710795.2	A0A1D8PFE5	RAX2
XP_723117.1	Q5ANJ8	RAX1
XP_719122.2	A0A1D8PQ08	RAV2
XP_722750.2	Q5AMG5	RAT1
XP_723116.1	Q5ANJ9	RAS2
XP_714405.2	Q59XU5	RAS1
XP_714418.2	A0A1D8PIK2	RAP1
XP_723503.2	A0A1D8PEN1	RAM2
XP_710548.2	A0A1D8PLY3	RAM1
XP_718819.2	Q5AAT0	RAI1
XP_720583.2	A0A1D8PNH8	RAD9
XP_722541.1	A0A1D8PGH5	RAD7
XP_710121.1	A0A1D8PM97	RAD59
XP_716015.2	A0A1D8PI62	RAD57
XP_722208.1	Q5AKX3	RAD54
XP_712737.2	A0A1D8PJZ1	RAD53
XP_711260.1	Q59NG2	RAD52
XP_713440.1	Q59UY8	RAD51
XP_721725.2	A0A1D8PJD1	RAD50
XP_719543.2	Q5ACX1	RAD5
XP_719821.1	Q5ADX0	RAD4
XP_720989.2	A0A1D8PGZ5	RAD32
XP_720409.1	A0A1D8PQH0	RAD3
XP_717410.1	Q5A6K8	RAD27
XP_019330749.1	A0A1D8PGE3	RAD23
XP_709963.2	A0A1D8PLU8	RAD2
XP_716717.2	Q5A4N5	RAD18
XP_721468.1	Q5AI84	RAD16
XP_721355.1	P53709	RAD14
XP_718490.1	Q5AA15	RAD10
XP_717121.2	A0A1D8PIP5	RAD1
XP_718826.2	A0A1D8PDV5	RAC1
XP_712614.2	A0A1D8PL67	QRI7
XP_714342.2	Q59XM0	QDR3
XP_714698.1	Q59YT1	QDR2
XP_019330916.1	A0A1D8PLP3	QCR9
XP_019330771.1	A0A1D8PHA2	QCR8
XP_719189.1	Q5ABS1	QCR7
XP_019330856.1	A0A1D8PJT8	QCR6
XP_712027.1	P83782	QCR2
XP_019330656.1	A0A1D8PDP8	QCR10
XP_712489.1	A0A1D8PQV0	QCE1
XP_710284.1	Q59KL6	PZF1
XP_720913.2	A0A1D8PLY4	PYC2
XP_717235.1	Q5A660	PXR1
XP_721732.1	Q5AJD6	PXP2
XP_716324.2	A0A1D8PFB0	PXA2
XP_718657.2	A0A1D8PRN3	PXA1
XP_717966.1	Q5A852	PWP2
XP_722712.2	A0A1D8PLA3	PWP1
XP_721444.1	Q5AIA8	PUT4
XP_718793.1	Q5AAV6	PUT3
XP_721883.1	Q5AK46	PUT2
XP_720582.1	A0A1D8PNH4	PUT1
XP_714399.2	A0A1D8PIN8	PUS7
XP_715423.2	Q5A0Y2	PUS5
XP_715717.2	A0A1D8PN62	PUS4
XP_019331009.1	Q59S63	PUS1
XP_711676.1	A0A1D8PRB6	PUP3
XP_711782.1	Q59PZ1	PUP2
XP_719367.1	A0A1D8PU67	PUP1
XP_711443.2	A0A1D8PMA5	PUF3
XP_712960.2	A0A1D8PCM3	PTR3
XP_712738.1	Q59ST2	PTR22
XP_019331059.1	A0A1D8PS27	PTR2
XP_719371.1	A0A1D8PU75	PTP3
XP_710547.2	A0A1D8PLX9	PTP2
XP_716206.1	Q5A399	PTP1
XP_716724.1	Q5A4M7	PTK2
XP_720541.1	Q5AGE8	PTH2
XP_720542.2	A0A1D8PND1	PTH1
XP_722763.1	Q5AME8	PTC8
XP_713342.2	A0A1D8PL06	PTC7
XP_711044.1	Q59MW1	PTC6
XP_716216.1	Q5A388	PTC5
XP_711704.1	Q59PS6	PTC4
XP_718206.2	A0A1D8PRZ8	PTC2
XP_723471.2	A0A1D8PEN6	PTC1
XP_721927.1	Q5AK01	PSY4
XP_713779.2	A0A1D8PCN8	PSY2
XP_710366.1	A0A1D8PT02	PST3
XP_714456.1	Q59Y37	PST2
XP_714832.2	A0A1D8PHR5	PST1
XP_019330838.1	A0A1D8PJE6	PSP2
XP_713804.2	A0A1D8PF34	PSP1
XP_717164.1	Q5A5N8	PSO2
XP_720357.1	Q5AFK3	PSF3
XP_019330647.1	Q59MA3	PSF2
XP_712482.1	Q59S42	PSF1
XP_721863.2	Q5AK66	PSD2
XP_719007.1	Q5ABC5	PSD1
XP_722154.1	Q5AL34	PSA2
XP_711729.1	Q59PV6	PRY1
XP_717002.1	Q5A5A0	PRX1
XP_721420.1	Q5AGV4	PRT1
XP_716033.1	Q5A2L2	PRS5
XP_722617.1	Q5ALK3	PRS1
XP_718201.2	A0A1D8PRZ3	PRS
XP_711681.2	A0A1D8PRA7	PRR2
XP_716279.1	Q5A322	PRP8
XP_719923.1	Q5ADL0	PRP5
XP_717785.1	Q5A7Q3	PRP46
XP_719078.1	Q5AC37	PRP45
XP_715150.1	Q5A014	PRP42
XP_717941.1	Q5A878	PRP40
XP_716477.1	A0A1D8PU02	PRP4
XP_722540.2	A0A1D8PGF5	PRP39
XP_721029.1	Q5AH86	PRP3
XP_713805.2	Q59W52	PRP28
XP_718230.2	A0A1D8PS18	PRP24
XP_721941.2	A0A1D8PP74	PRP22
XP_719838.1	Q5ADV1	PRP19
XP_719558.2	A0A1D8PG11	PRP18
XP_715128.2	Q5A061	PRP13
XP_723411.1	Q5APP1	PRP11
XP_713331.1	A0A1D8PKZ7	PRO3
XP_719875.1	Q5ADR2	PRO2
XP_719398.1	A0A1D8PU95	PRO1
XP_718483.1	Q5AA23	PRN4
XP_718484.2	A0A1D8PDP2	PRN3
XP_718485.1	Q5AA21	PRN2
XP_718488.2	A0A1D8PDN9	PRN1
XP_019330825.1	A0A1D8PJ28	PRM9
XP_721365.1	Q5AH11	PRM10
XP_713802.2	Q59W55	PRM1
XP_718270.2	Q5A961	PRK1
XP_715541.2	A0A1D8PML0	PRI2
XP_720045.1	Q5AEB8	PRE9
XP_019331114.1	A0A1D8PTY6	PRE8
XP_720505.2	A0A1D8PLK1	PRE7
XP_019331082.1	A0A1D8PSS4	PRE6
XP_715227.1	A0A1D8PRH6	PRE5
XP_720540.1	A0A1D8PNC8	PRE4
XP_714697.1	A0A1D8PK85	PRE3
XP_714824.1	Q59Z65	PRE2
XP_019331028.1	A0A1D8PQW1	PRE10
XP_721933.1	Q5AJZ5	PRE1
XP_715869.1	Q5A2A7	PRD1
XP_718495.2	A0A1D8PDM9	PRC3
XP_711339.1	A0A1D8PN69	PRC2
XP_714833.1	Q59Z57	PRB1
XP_715420.2	P87020	PRA1
XP_715334.1	Q5A0L8	PR26
XP_713085.1	Q59U06	PPZ1
XP_714278.1	Q59X24	PPX1
XP_723498.1	Q5APF3	PPT2
XP_721750.2	A0A1D8PJ89	PPT1
XP_711853.2	A0A1D8PMG3	PPS1
XP_714417.2	A0A1D8PIL7	PPR7
XP_715719.2	A0A1D8PN34	PPR4
XP_723436.2	A0A1D8PEG5	PPR13
XP_714268.1	Q59X34	PPR11
XP_721895.2	A0A1D8PP34	PPR1
XP_718126.1	Q5A931	PPM2
XP_716217.1	Q5A387	PPM1
XP_019331076.1	A0A1D8PSJ8	PPH3
XP_721760.1	A0A1D8PJ80	PPH21
XP_717179.1	Q5A6B6	PPG1
XP_722509.1	Q5ALW7	PPE1
XP_019330610.1	A0A1D8PCH9	POX18
XP_721729.1	Q5AJD9	POX1-3
XP_718061.2	A0A1D8PQ67	POX1
XP_719495.1	Q5AD21	POT1-2
XP_718677.1	A0A1D8PRL6	POT1
XP_719895.1	Q5ADP1	POS5
XP_713647.1	P83781	POR1
XP_719129.2	A0A1D8PQ05	POP4
XP_719416.1	A0A1D8PUA8	POP3
XP_718072.1	Q5A8L5	POP2
XP_719528.2	A0A1D8PG44	POM152
XP_716322.1	Q5A3L7	POM1
XP_719040.2	A0A1D8PC70	POL93
XP_719159.2	A0A1D8PQ25	POL5
XP_718487.2	A0A1D8PDM8	POL32
XP_722688.1	Q5AMN0	POL30
XP_717004.2	A0A1D8PR64	POL3
XP_712655.2	A0A1D8PTD0	POL2
XP_723089.2	A0A1D8PK28	POL1
XP_722602.1	Q5ALL8	POB3
XP_715713.2	Q5A1V3	POA1
XP_719039.1	Q5AB93	PNS1
XP_720012.2	A0A1D8PJL8	PNP1
XP_719379.1	Q5ACM4	PNO1
XP_712806.2	A0A1D8PHH2	PNG2
XP_711833.1	Q59Q38	PNG1
XP_712137.2	A0A1D8PRE2	PNC1
XP_717207.1	Q5A688	PMT6
XP_719311.1	Q5ACU3	PMT5
XP_714280.2	Q59X23	PMT4
XP_719907.1	Q5ADM9	PMT2
XP_716993.1	O74189	PMT1
XP_710686.2	A0A1D8PII6	PMS1
XP_720380.1	A0A1D8PQK6	PMR1
XP_019330619.1	A0A1D8PCT3	PMP5
XP_019330998.1	A0A1D8PPN4	PMP1
XP_721436.1	P31353	PMM1
XP_714562.1	P34948	PMI1
